context,layer,motif,mean_weight,std_weight,events,tokens
eval_init:code,layer_11,compose,1.0,0.0,4,512
eval_init:code,layer_11,code_syntax,1.0,0.0,4,512
eval_init:code,layer_11,math_reason,1.0,0.0,4,512
eval_init:math,layer_10,expand,1.0,0.0,4,512
eval_init:math,layer_10,select,1.0,0.0,4,512
eval_init:math,layer_10,memory,1.0,0.0,4,512
eval_init:math,layer_10,compose,1.0,0.0,4,512
eval_init:math,layer_10,code_syntax,1.0,0.0,4,512
eval_init:math,layer_10,math_reason,1.0,0.0,4,512
eval_init:math,layer_11,expand,1.0,0.0,4,512
eval_init:math,layer_11,select,1.0,0.0,4,512
eval_init:math,layer_11,memory,1.0,0.0,4,512
eval_init:math,layer_11,compose,1.0,0.0,4,512
eval_init:math,layer_11,code_syntax,1.0,0.0,4,512
eval_init:math,layer_11,math_reason,1.0,0.0,4,512
train:wiki,layer_10,expand,1.032569169998169,0.21593157947063446,1667,213376
train:wiki,layer_10,select,1.0350950956344604,0.3831712305545807,1667,213376
train:wiki,layer_10,memory,1.0505403280258179,0.2369917780160904,1667,213376
train:wiki,layer_10,compose,0.9708155989646912,0.21545669436454773,1667,213376
train:wiki,layer_10,code_syntax,0.8980691432952881,0.24898728728294373,1667,213376
train:wiki,layer_10,math_reason,1.0127952098846436,0.26557204127311707,1667,213376
train:wiki,layer_11,expand,1.1160551309585571,0.34195029735565186,1667,213376
train:wiki,layer_11,select,1.0620701313018799,0.29613199830055237,1667,213376
train:wiki,layer_11,memory,0.9091557860374451,0.23588506877422333,1667,213376
train:wiki,layer_11,compose,0.9555731415748596,0.2538893520832062,1667,213376
train:wiki,layer_11,code_syntax,0.9084413051605225,0.25116801261901855,1667,213376
train:wiki,layer_11,math_reason,1.048571228981018,0.40538489818573,1667,213376
train:news,layer_10,expand,1.059827446937561,0.24056439101696014,1667,213376
train:news,layer_10,select,0.9173180460929871,0.22915494441986084,1667,213376
train:news,layer_10,memory,1.0256160497665405,0.2382582277059555,1667,213376
train:news,layer_10,compose,0.9404693245887756,0.1998014748096466,1667,213376
train:news,layer_10,code_syntax,0.9181939959526062,0.24066199362277985,1667,213376
train:news,layer_10,math_reason,1.1384295225143433,0.2790515720844269,1667,213376
train:news,layer_11,expand,0.94333416223526,0.22619454562664032,1667,213376
train:news,layer_11,select,1.0187128782272339,0.25325021147727966,1667,213376
train:news,layer_11,memory,1.139473795890808,0.47247514128685,1667,213376
train:news,layer_11,compose,0.9925151467323303,0.27369198203086853,1667,213376
train:news,layer_11,code_syntax,0.9305994510650635,0.2635202407836914,1667,213376
train:news,layer_11,math_reason,0.9752408862113953,0.2700538635253906,1667,213376
train:reviews,layer_10,expand,0.9966942071914673,0.20439033210277557,1667,213376
train:reviews,layer_10,select,0.9867895245552063,0.22249557077884674,1667,213376
train:reviews,layer_10,memory,1.0294381380081177,0.2733694612979889,1667,213376
train:reviews,layer_10,compose,0.9873260259628296,0.2097903937101364,1667,213376
train:reviews,layer_10,code_syntax,0.9306816458702087,0.23306263983249664,1667,213376
train:reviews,layer_10,math_reason,1.068922519683838,0.21689581871032715,1667,213376
train:reviews,layer_11,expand,1.0359458923339844,0.2417798489332199,1667,213376
train:reviews,layer_11,select,0.9957695603370667,0.23915065824985504,1667,213376
train:reviews,layer_11,memory,1.055320382118225,0.2720072865486145,1667,213376
train:reviews,layer_11,compose,0.9661348462104797,0.2254800945520401,1667,213376
train:reviews,layer_11,code_syntax,0.9797024130821228,0.24374552071094513,1667,213376
train:reviews,layer_11,math_reason,0.966991126537323,0.27030810713768005,1667,213376
train:paper,layer_10,expand,0.9454743266105652,0.2458714246749878,1667,213376
train:paper,layer_10,select,1.2493618726730347,0.3693027198314667,1667,213376
train:paper,layer_10,memory,1.0285871028900146,0.28500843048095703,1667,213376
train:paper,layer_10,compose,1.1829447746276855,0.32891714572906494,1667,213376
train:paper,layer_10,code_syntax,0.7515648007392883,0.32479897141456604,1667,213376
train:paper,layer_10,math_reason,0.8419740200042725,0.23338554799556732,1667,213376
train:paper,layer_11,expand,0.9022514224052429,0.26413342356681824,1667,213376
train:paper,layer_11,select,1.3702447414398193,0.442806214094162,1667,213376
train:paper,layer_11,memory,0.7856175303459167,0.4710351526737213,1667,213376
train:paper,layer_11,compose,1.3457934856414795,0.45075103640556335,1667,213376
train:paper,layer_11,code_syntax,0.9462287425994873,0.41953596472740173,1667,213376
train:paper,layer_11,math_reason,0.6497856974601746,0.3173065185546875,1667,213376
train:code,layer_10,expand,1.0549826622009277,0.22920188307762146,1666,213248
train:code,layer_10,select,0.9352743029594421,0.22549568116664886,1666,213248
train:code,layer_10,memory,1.1929675340652466,0.3557436466217041,1666,213248
train:code,layer_10,compose,0.998390793800354,0.23570042848587036,1666,213248
train:code,layer_10,code_syntax,0.9442771077156067,0.3082112669944763,1666,213248
train:code,layer_10,math_reason,0.8739634156227112,0.1839730441570282,1666,213248
train:code,layer_11,expand,1.1295344829559326,0.41274499893188477,1666,213248
train:code,layer_11,select,1.1742662191390991,0.31185808777809143,1666,213248
train:code,layer_11,memory,0.8186560273170471,0.24885475635528564,1666,213248
train:code,layer_11,compose,1.0896837711334229,0.34940847754478455,1666,213248
train:code,layer_11,code_syntax,0.8885722160339355,0.3026546239852905,1666,213248
train:code,layer_11,math_reason,0.8991966843605042,0.31402018666267395,1666,213248
train:math,layer_10,expand,1.0558115243911743,0.23071560263633728,1666,213248
train:math,layer_10,select,0.916062593460083,0.21300329267978668,1666,213248
train:math,layer_10,memory,0.9121423363685608,0.20081111788749695,1666,213248
train:math,layer_10,compose,1.097817063331604,0.2402641475200653,1666,213248
train:math,layer_10,code_syntax,0.9966700077056885,0.28682732582092285,1666,213248
train:math,layer_10,math_reason,1.021389126777649,0.21063832938671112,1666,213248
train:math,layer_11,expand,1.0187246799468994,0.30262547731399536,1666,213248
train:math,layer_11,select,0.9374536871910095,0.2770325839519501,1666,213248
train:math,layer_11,memory,0.9997814893722534,0.27111756801605225,1666,213248
train:math,layer_11,compose,0.9578997492790222,0.24997735023498535,1666,213248
train:math,layer_11,code_syntax,1.1244797706604004,0.37492018938064575,1666,213248
train:math,layer_11,math_reason,0.9615382552146912,0.3050266206264496,1666,213248
eval:wiki,layer_10,expand,1.0573596954345703,0.20771044492721558,80,10240
eval:wiki,layer_10,select,1.0530469417572021,0.3387135863304138,80,10240
eval:wiki,layer_10,memory,1.00417959690094,0.24170587956905365,80,10240
eval:wiki,layer_10,compose,1.0173542499542236,0.21765242516994476,80,10240
eval:wiki,layer_10,code_syntax,0.8509203195571899,0.2500452995300293,80,10240
eval:wiki,layer_10,math_reason,1.0169346332550049,0.2635362148284912,80,10240
eval:wiki,layer_11,expand,1.1298835277557373,0.36533814668655396,80,10240
eval:wiki,layer_11,select,0.9981926679611206,0.30517783761024475,80,10240
eval:wiki,layer_11,memory,0.9312388300895691,0.2544138729572296,80,10240
eval:wiki,layer_11,compose,0.9502652287483215,0.23545904457569122,80,10240
eval:wiki,layer_11,code_syntax,0.9174342155456543,0.26528382301330566,80,10240
eval:wiki,layer_11,math_reason,1.0729243755340576,0.4272664785385132,80,10240
eval:news,layer_10,expand,1.0775760412216187,0.26230043172836304,80,10240
eval:news,layer_10,select,0.9003122448921204,0.23636646568775177,80,10240
eval:news,layer_10,memory,1.035373330116272,0.24001868069171906,80,10240
eval:news,layer_10,compose,0.9330207705497742,0.19555771350860596,80,10240
eval:news,layer_10,code_syntax,0.9150937795639038,0.23201094567775726,80,10240
eval:news,layer_10,math_reason,1.1384754180908203,0.27133283019065857,80,10240
eval:news,layer_11,expand,0.9484333992004395,0.21229708194732666,80,10240
eval:news,layer_11,select,1.0280333757400513,0.2693626880645752,80,10240
eval:news,layer_11,memory,1.1066741943359375,0.45804646611213684,80,10240
eval:news,layer_11,compose,1.0181076526641846,0.2700517475605011,80,10240
eval:news,layer_11,code_syntax,0.9350396394729614,0.2585504353046417,80,10240
eval:news,layer_11,math_reason,0.963590145111084,0.2512415945529938,80,10240
eval:reviews,layer_10,expand,1.0382579565048218,0.22275260090827942,80,10240
eval:reviews,layer_10,select,0.9902029037475586,0.22856178879737854,80,10240
eval:reviews,layer_10,memory,1.0065839290618896,0.23490135371685028,80,10240
eval:reviews,layer_10,compose,1.006661057472229,0.22793689370155334,80,10240
eval:reviews,layer_10,code_syntax,0.9074712991714478,0.21533729135990143,80,10240
eval:reviews,layer_10,math_reason,1.0506118535995483,0.21412816643714905,80,10240
eval:reviews,layer_11,expand,0.9968698620796204,0.21026362478733063,80,10240
eval:reviews,layer_11,select,0.9406949877738953,0.22637972235679626,80,10240
eval:reviews,layer_11,memory,1.1483955383300781,0.27288109064102173,80,10240
eval:reviews,layer_11,compose,1.0008515119552612,0.2195976823568344,80,10240
eval:reviews,layer_11,code_syntax,0.9852506518363953,0.23497898876667023,80,10240
eval:reviews,layer_11,math_reason,0.9278623461723328,0.24354395270347595,80,10240
eval:paper,layer_10,expand,0.9006500244140625,0.18668809533119202,20,2560
eval:paper,layer_10,select,1.1300132274627686,0.3367519676685333,20,2560
eval:paper,layer_10,memory,1.0328658819198608,0.23509664833545685,20,2560
eval:paper,layer_10,compose,0.9888633489608765,0.21900393068790436,20,2560
eval:paper,layer_10,code_syntax,0.9640403985977173,0.40835830569267273,20,2560
eval:paper,layer_10,math_reason,0.98358154296875,0.20877477526664734,20,2560
eval:paper,layer_11,expand,0.8138618469238281,0.26182565093040466,20,2560
eval:paper,layer_11,select,1.3048042058944702,0.43177056312561035,20,2560
eval:paper,layer_11,memory,1.1825790405273438,0.7057250142097473,20,2560
eval:paper,layer_11,compose,1.1357654333114624,0.4632391929626465,20,2560
eval:paper,layer_11,code_syntax,0.7711784243583679,0.2739036977291107,20,2560
eval:paper,layer_11,math_reason,0.7919605374336243,0.2939245104789734,20,2560
eval:code,layer_10,expand,1.0152740478515625,0.21665744483470917,80,10240
eval:code,layer_10,select,0.9873412847518921,0.22874009609222412,80,10240
eval:code,layer_10,memory,1.237809419631958,0.3713914155960083,80,10240
eval:code,layer_10,compose,1.0007661581039429,0.2456086128950119,80,10240
eval:code,layer_10,code_syntax,0.8940272331237793,0.290667325258255,80,10240
eval:code,layer_10,math_reason,0.8647411465644836,0.1760309785604477,80,10240
eval:code,layer_11,expand,1.1458927392959595,0.4228610098361969,80,10240
eval:code,layer_11,select,1.1489652395248413,0.3353205621242523,80,10240
eval:code,layer_11,memory,0.8295060992240906,0.25567957758903503,80,10240
eval:code,layer_11,compose,1.1028072834014893,0.3697204887866974,80,10240
eval:code,layer_11,code_syntax,0.874367892742157,0.31334590911865234,80,10240
eval:code,layer_11,math_reason,0.8984551429748535,0.28088852763175964,80,10240
eval:math,layer_10,expand,1.0437538623809814,0.23449018597602844,80,10240
eval:math,layer_10,select,0.9079376459121704,0.21376223862171173,80,10240
eval:math,layer_10,memory,0.940899670124054,0.21078047156333923,80,10240
eval:math,layer_10,compose,1.1136796474456787,0.25083306431770325,80,10240
eval:math,layer_10,code_syntax,0.9394335746765137,0.29061371088027954,80,10240
eval:math,layer_10,math_reason,1.0541374683380127,0.21631190180778503,80,10240
eval:math,layer_11,expand,1.0477550029754639,0.3263096213340759,80,10240
eval:math,layer_11,select,0.9520708322525024,0.2708110511302948,80,10240
eval:math,layer_11,memory,0.9874887466430664,0.258291095495224,80,10240
eval:math,layer_11,compose,0.9627496004104614,0.2743634581565857,80,10240
eval:math,layer_11,code_syntax,1.1089502573013306,0.3490903675556183,80,10240
eval:math,layer_11,math_reason,0.9409142732620239,0.31344670057296753,80,10240
